03090,21,2,
03090,22,2,
05002,21,2,
05002,22,2,
31313,22,1,
31514,21,2,
31514,22,2,
33708,21,2,
33708,22,2,
33745,21,2,
33745,22,2,
34064,21,2,
34064,22,2,
34300,21,2,
34300,22,2,
35258,21,2,
35258,22,2,
35261,21,2,
35261,22,2,
35319,21,2,
35319,22,2,
35327,21,2,
35327,22,2,
35397,21,2,
35397,22,2,
35413,21,2,
35413,22,2,
35433,21,2,
35433,22,2,
35448,21,2,
35448,22,2,
35449,21,2,
35449,22,2,
35453,21,2,
35453,22,2,
35476,21,2,
35476,22,2,
35512,21,2,
35512,22,2,
35518,21,2,
35518,22,2,
35557,21,2,
35557,22,2,
35585,21,2,
35585,22,2,
35599,21,2,
35599,22,2,
35608,21,2,
35608,22,2,
35674,21,2,
35674,22,2,
35681,21,2,
35681,22,2,
35705,21,2,
35705,22,2,
35716,21,2,
35716,22,2,
35717,21,2,
35717,22,2,
35728,21,2,
35728,22,2,
35815,21,2,
35815,22,2,
35817,21,2,
35817,22,2,
35830,21,2,
35830,22,2,
35845,21,2,
35845,22,2,
35875,21,1,
35875,22,2,
35900,21,2,
35900,22,2,
35903,21,2,
35903,22,2,
35904,21,2,
35904,22,2,
35907,21,2,
35907,22,2,
35908,21,2,
35908,22,2,
35944,21,2,
35944,22,2,
36046,21,2,
36046,22,2,
36062,21,2,
36062,22,2,
36105,21,2,
36105,22,1,
36128,21,2,
36128,22,2,
36161,21,2,
36161,22,2,
36221,21,2,
36221,22,2,
36237,21,2,
36237,22,2,
36251,21,2,
36251,22,2,
36255,21,2,
36255,22,2,
36300,21,2,
36300,22,2,
80247,21,2,
80247,22,2,
80259,22,1,
