MATCHNO,BILETNO,BOLUM,
5,3179635074,1,
5,3179236074,1,
5,3179336074,1,
5,3179636074,1,
5,3179037074,1,
5,3179238074,1,
5,3179338074,1,
5,3179638074,1,
5,3179239074,1,
5,3179339074,1,
5,3179639074,1,
5,3179230174,1,
5,3179330174,1,
5,3179630174,1,
5,3179231174,1,
5,3179331174,1,
5,3179631174,1,
5,3179232174,1,
5,3179332174,1,
5,3179632174,1,
5,3179233174,1,
5,3179333174,1,
5,3179633174,1,
5,3179234174,1,
5,3179334174,1,
5,3179634174,1,
5,3179235174,1,
5,3179335174,1,
5,3179635174,1,
5,3179236174,1,
5,3179336174,1,
5,3179636174,1,
5,3179238174,1,
5,3179338174,1,
5,3179638174,1,
5,3179239174,1,
5,3179339174,1,
5,3179639174,1,
5,3179230274,1,
5,3179330274,1,
5,3179630274,1,
5,3179231274,1,
5,3179331274,1,
5,3179631274,1,
5,3179232274,1,
5,3179632274,1,
5,3179233274,1,
5,3179333274,1,
5,3179633274,1,
5,3179234274,1,
5,3179334274,1,
5,3179634274,1,
5,3179235274,1,
5,3179335274,1,
5,3179635274,1,
5,3179236274,1,
5,3179336274,1,
5,3179636274,1,
5,3179238274,1,
5,3179338274,1,
5,3179638274,1,
5,3179239274,1,
5,3179339274,1,
5,3179639274,1,
5,3179230374,1,
5,3179330374,1,
5,3179630374,1,
5,3179231374,1,
5,3179331374,1,
5,3179631374,1,
5,3179232374,1,
5,3179332374,1,
5,3179632374,1,
5,3179234374,1,
5,3179334374,1,
5,3179634374,1,
5,3179235374,1,
5,3179335374,1,
5,3179635374,1,
5,3179236374,1,
5,3179336374,1,
5,3179636374,1,
5,3179237374,1,
5,3179637374,1,
5,3179238374,1,
5,3179338374,1,
5,3179638374,1,
5,3179239374,1,
5,3179339374,1,
5,3179639374,1,
5,3179230474,1,
5,3179330474,1,
5,3179630474,1,
5,3179231474,1,
5,3179331474,1,
5,3179631474,1,
5,3179232474,1,
5,3179632474,1,
5,3179233474,1,
5,3179333474,1,
5,3179633474,1,
5,3179234474,1,
5,3179334474,1,
5,3179634474,1,
5,3179235474,1,
5,3179335474,1,
5,3179635474,1,
5,3179236474,1,
5,3179336474,1,
5,3179636474,1,
5,3179238474,1,
5,3179338474,1,
5,3179638474,1,
5,3179239474,1,
5,3179339474,1,
5,3179639474,1,
5,3179230574,1,
5,3179330574,1,
5,3179630574,1,
5,3179231574,1,
5,3179331574,1,
5,3179631574,1,
5,3179232574,1,
5,3179332574,1,
5,3179632574,1,
5,3179233574,1,
5,3179333574,1,
5,3179633574,1,
5,3179234574,1,
5,3179334574,1,
5,3179634574,1,
5,3179235574,1,
5,3179335574,1,
5,3179635574,1,
5,3179236574,1,
5,3179336574,1,
5,3179636574,1,
5,3179238574,1,
5,3179338574,1,
5,3179638574,1,
5,3179239574,1,
5,3179339574,1,
5,3179639574,1,
5,3179230674,1,
5,3179330674,1,
5,3179630674,1,
5,3179231674,1,
5,3179331674,1,
5,3179631674,1,
5,3179232674,1,
5,3179332674,1,
5,3179632674,1,
5,3179233674,1,
5,3179333674,1,
5,3179633674,1,
5,3179234674,1,
5,3179334674,1,
5,3179634674,1,
5,3179235674,1,
5,3179335674,1,
5,3179635674,1,
5,3179236674,1,
5,3179336674,1,
5,3179636674,1,
5,3179237674,1,
5,3179238674,1,
5,3179338674,1,
5,3179638674,1,
5,3179239674,1,
5,3179339674,1,
5,3179639674,1,
5,3179230774,1,
5,3179330774,1,
5,3179630774,1,
5,3179231774,1,
5,3179331774,1,
5,3179631774,1,
5,3179232774,1,
5,3179632774,1,
5,3179233774,1,
5,3179333774,1,
5,3179633774,1,
5,3179234774,1,
5,3179334774,1,
5,3179634774,1,
5,3179235774,1,
5,3179335774,1,
5,3179635774,1,
5,3179236774,1,
5,3179336774,1,
5,3179636774,1,
5,3179238774,1,
5,3179338774,1,
5,3179638774,1,
5,3179239774,1,
5,3179339774,1,
5,3179639774,1,
5,3179230874,1,
5,3179330874,1,
5,3179630874,1,
5,3179231874,1,
5,3179331874,1,
5,3179631874,1,
5,3179232874,1,
5,3179632874,1,
5,3179233874,1,
5,3179333874,1,
5,3179633874,1,
5,3179234874,1,
5,3179334874,1,
5,3179634874,1,
5,3179235874,1,
5,3179335874,1,
5,3179635874,1,
5,3179236874,1,
5,3179336874,1,
5,3179636874,1,
5,3179238874,1,
5,3179338874,1,
5,3179638874,1,
5,3179239874,1,
5,3179339874,1,
5,3179639874,1,
5,3179230974,1,
5,3179330974,1,
5,3179630974,1,
5,3179231974,1,
5,3179331974,1,
5,3179631974,1,
5,3179232974,1,
5,3179332974,1,
5,3179632974,1,
5,3179233974,1,
5,3179333974,1,
5,3179633974,1,
5,3179234974,1,
5,3179334974,1,
5,3179634974,1,
5,3179235974,1,
5,3179335974,1,
5,3179635974,1,
5,3179236974,1,
5,3179336974,1,
5,3179636974,1,
5,3179238974,1,
5,3179338974,1,
5,3179638974,1,
5,3179239974,1,
5,3179339974,1,
5,3179639974,1,
5,3174030074,1,
5,3174130074,1,
5,3174230074,1,
5,3174330074,1,
5,3174430074,1,
5,3174530074,1,
5,3174630074,1,
5,3174730074,1,
5,3174830074,1,
5,3174930074,1,
5,3174031074,1,
5,3174131074,1,
5,3174231074,1,
5,3174331074,1,
5,3174431074,1,
5,3174531074,1,
5,3174631074,1,
5,3174731074,1,
5,3174831074,1,
5,3174931074,1,
5,3174033074,1,
5,3174133074,1,
5,3174233074,1,
5,3174333074,1,
5,3174433074,1,
5,3174533074,1,
5,3174633074,1,
5,3174733074,1,
5,3174833074,1,
5,3174933074,1,
5,3174034074,1,
5,3174134074,1,
5,3174234074,1,
5,3174334074,1,
5,3174434074,1,
5,3174534074,1,
5,3174634074,1,
5,3174734074,1,
5,3174834074,1,
5,3174934074,1,
5,3174035074,1,
5,3174135074,1,
5,3174235074,1,
5,3174335074,1,
5,3174435074,1,
5,3174535074,1,
5,3174635074,1,
5,3174735074,1,
5,3174835074,1,
5,3174935074,1,
5,3174036074,1,
5,3174136074,1,
5,3174236074,1,
5,3174336074,1,
5,3174436074,1,
5,3174536074,1,
5,3174636074,1,
5,3174736074,1,
5,3174836074,1,
5,3174936074,1,
5,3174038074,1,
5,3174238074,1,
5,3174338074,1,
5,3174638074,1,
5,3174039074,1,
5,3174139074,1,
5,3174239074,1,
5,3174339074,1,
5,3174439074,1,
5,3174539074,1,
5,3174639074,1,
5,3174739074,1,
5,3174839074,1,
5,3174939074,1,
5,3174030174,1,
5,3174130174,1,
5,3174230174,1,
5,3174330174,1,
5,3174430174,1,
5,3174530174,1,
5,3174630174,1,
5,3174730174,1,
5,3174830174,1,
5,3174930174,1,
5,3174031174,1,
5,3174131174,1,
5,3174231174,1,
5,3174331174,1,
5,3174431174,1,
5,3174531174,1,
5,3174631174,1,
5,3174731174,1,
5,3174831174,1,
5,3174931174,1,
5,3174033174,1,
5,3174133174,1,
5,3174233174,1,
5,3174333174,1,
5,3174433174,1,
5,3174533174,1,
5,3174633174,1,
5,3174733174,1,
5,3174833174,1,
5,3174933174,1,
5,3174034174,1,
5,3174134174,1,
5,3174234174,1,
5,3174334174,1,
5,3174434174,1,
5,3174534174,1,
5,3174634174,1,
5,3174834174,1,
5,3174934174,1,
5,3174035174,1,
5,3174135174,1,
5,3174235174,1,
5,3174335174,1,
5,3174435174,1,
5,3174535174,1,
5,3174635174,1,
5,3174735174,1,
5,3174835174,1,
5,3174935174,1,
5,3174036174,1,
5,3174136174,1,
5,3174236174,1,
5,3174336174,1,
5,3174436174,1,
5,3174536174,1,
5,3174636174,1,
5,3174736174,1,
5,3174836174,1,
5,3174936174,1,
5,3174038174,1,
5,3174238174,1,
5,3174338174,1,
5,3174638174,1,
5,3174039174,1,
5,3174139174,1,
5,3174239174,1,
5,3174339174,1,
5,3174439174,1,
5,3174539174,1,
5,3174639174,1,
5,3174739174,1,
5,3174839174,1,
5,3174939174,1,
5,3174030274,1,
5,3174130274,1,
5,3174230274,1,
5,3174330274,1,
5,3174430274,1,
5,3174530274,1,
5,3174630274,1,
5,3174730274,1,
5,3174830274,1,
5,3174930274,1,
5,3174031274,1,
5,3174131274,1,
5,3174231274,1,
5,3174331274,1,
5,3174431274,1,
5,3174531274,1,
5,3174631274,1,
5,3174731274,1,
5,3174831274,1,
5,3174931274,1,
5,3174033274,1,
5,3174133274,1,
5,3174233274,1,
5,3174333274,1,
5,3174433274,1,
5,3174533274,1,
5,3174633274,1,
5,3174733274,1,
5,3174833274,1,
5,3174933274,1,
5,3174034274,1,
5,3174234274,1,
5,3174334274,1,
5,3174534274,1,
5,3174634274,1,
5,3174035274,1,
5,3174135274,1,
5,3174235274,1,
5,3174335274,1,
5,3174435274,1,
5,3174535274,1,
5,3174635274,1,
5,3174735274,1,
5,3174835274,1,
5,3174935274,1,
5,3174036274,1,
5,3174136274,1,
5,3174236274,1,
5,3174336274,1,
5,3174436274,1,
5,3174536274,1,
5,3174636274,1,
5,3174736274,1,
5,3174836274,1,
5,3174936274,1,
5,3174238274,1,
5,3174338274,1,
5,3174039274,1,
5,3174139274,1,
5,3174239274,1,
5,3174339274,1,
5,3174439274,1,
5,3174539274,1,
5,3174639274,1,
5,3174739274,1,
5,3174839274,1,
5,3174939274,1,
5,3174030374,1,
5,3174130374,1,
5,3174230374,1,
5,3174330374,1,
5,3174430374,1,
5,3174530374,1,
5,3174630374,1,
5,3174730374,1,
5,3174830374,1,
5,3174930374,1,
5,3174031374,1,
5,3174131374,1,
5,3174231374,1,
5,3174331374,1,
5,3174431374,1,
5,3174531374,1,
5,3174631374,1,
5,3174731374,1,
5,3174831374,1,
5,3174931374,1,
5,3174034374,1,
5,3174134374,1,
5,3174234374,1,
5,3174334374,1,
5,3174434374,1,
5,3174534374,1,
5,3174634374,1,
5,3174734374,1,
5,3174834374,1,
5,3174934374,1,
5,3174035374,1,
5,3174135374,1,
5,3174235374,1,
5,3174335374,1,
5,3174435374,1,
5,3174535374,1,
5,3174635374,1,
5,3174735374,1,
5,3174835374,1,
5,3174935374,1,
5,3174036374,1,
5,3174136374,1,
5,3174236374,1,
5,3174336374,1,
5,3174436374,1,
5,3174536374,1,
5,3174636374,1,
5,3174736374,1,
5,3174836374,1,
5,3174936374,1,
5,3174038374,1,
5,3174238374,1,
5,3174338374,1,
5,3174538374,1,
5,3174638374,1,
5,3174039374,1,
5,3174139374,1,
5,3174239374,1,
5,3174339374,1,
5,3174439374,1,
5,3174539374,1,
5,3174639374,1,
5,3174739374,1,
5,3174839374,1,
5,3174939374,1,
5,3174030474,1,
5,3174130474,1,
5,3174230474,1,
5,3174330474,1,
5,3174430474,1,
5,3174530474,1,
5,3174630474,1,
5,3174730474,1,
5,3174830474,1,
5,3174930474,1,
5,3174031474,1,
5,3174131474,1,
5,3174231474,1,
5,3174331474,1,
5,3174431474,1,
5,3174531474,1,
5,3174631474,1,
5,3174731474,1,
5,3174831474,1,
5,3174931474,1,
5,3174033474,1,
5,3174133474,1,
5,3174233474,1,
5,3174333474,1,
5,3174433474,1,
5,3174533474,1,
5,3174633474,1,
5,3174733474,1,
5,3174833474,1,
5,3174933474,1,
5,3174034474,1,
5,3174234474,1,
5,3174334474,1,
5,3174534474,1,
5,3174634474,1,
5,3174834474,1,
5,3174934474,1,
5,3174035474,1,
5,3174135474,1,
5,3174235474,1,
5,3174335474,1,
5,3174435474,1,
5,3174535474,1,
5,3174635474,1,
5,3174735474,1,
5,3174835474,1,
5,3174935474,1,
5,3174036474,1,
5,3174136474,1,
5,3174236474,1,
5,3174336474,1,
5,3174436474,1,
5,3174536474,1,
5,3174636474,1,
5,3174736474,1,
5,3174836474,1,
5,3174936474,1,
5,3174238474,1,
5,3174338474,1,
5,3174638474,1,
5,3174039474,1,
5,3174139474,1,
5,3174239474,1,
5,3174339474,1,
5,3174439474,1,
5,3174539474,1,
5,3174639474,1,
5,3174739474,1,
5,3174839474,1,
5,3174939474,1,
5,3174030574,1,
5,3174130574,1,
5,3174230574,1,
5,3174330574,1,
5,3174430574,1,
5,3174530574,1,
5,3174630574,1,
5,3174730574,1,
5,3174830574,1,
5,3174930574,1,
5,3174031574,1,
5,3174131574,1,
5,3174231574,1,
5,3174331574,1,
5,3174431574,1,
5,3174531574,1,
5,3174631574,1,
5,3174731574,1,
5,3174831574,1,
5,3174931574,1,
5,3174033574,1,
5,3174133574,1,
5,3174233574,1,
5,3174333574,1,
5,3174433574,1,
5,3174533574,1,
5,3174633574,1,
5,3174733574,1,
5,3174833574,1,
5,3174933574,1,
5,3174034574,1,
5,3174134574,1,
5,3174234574,1,
5,3174334574,1,
5,3174434574,1,
5,3174534574,1,
5,3174634574,1,
5,3174834574,1,
5,3174934574,1,
5,3174035574,1,
5,3174135574,1,
5,3174235574,1,
5,3174335574,1,
5,3174435574,1,
5,3174535574,1,
5,3174635574,1,
5,3174735574,1,
5,3174835574,1,
5,3174935574,1,
5,3174036574,1,
5,3174136574,1,
5,3174236574,1,
5,3174336574,1,
5,3174436574,1,
5,3174536574,1,
5,3174636574,1,
5,3174736574,1,
5,3174836574,1,
5,3174936574,1,
5,3174038574,1,
5,3174238574,1,
5,3174338574,1,
5,3174638574,1,
5,3174039574,1,
5,3174139574,1,
5,3174239574,1,
5,3174339574,1,
5,3174439574,1,
5,3174539574,1,
5,3174639574,1,
5,3174739574,1,
5,3174839574,1,
5,3174939574,1,
5,3174030674,1,
5,3174130674,1,
5,3174230674,1,
5,3174330674,1,
5,3174430674,1,
5,3174530674,1,
5,3174630674,1,
5,3174730674,1,
5,3174830674,1,
5,3174930674,1,
5,3174031674,1,
5,3174131674,1,
5,3174231674,1,
5,3174331674,1,
5,3174431674,1,
5,3174531674,1,
5,3174631674,1,
5,3174731674,1,
5,3174831674,1,
5,3174931674,1,
5,3174033674,1,
5,3174133674,1,
5,3174233674,1,
5,3174333674,1,
5,3174433674,1,
5,3174533674,1,
5,3174633674,1,
5,3174733674,1,
5,3174833674,1,
5,3174933674,1,
5,3174034674,1,
5,3174134674,1,
5,3174234674,1,
5,3174334674,1,
5,3174434674,1,
5,3174534674,1,
5,3174634674,1,
5,3174734674,1,
5,3174834674,1,
5,3174934674,1,
5,3174035674,1,
5,3174135674,1,
5,3174235674,1,
5,3174335674,1,
5,3174435674,1,
5,3174535674,1,
5,3174635674,1,
5,3174735674,1,
5,3174835674,1,
5,3174935674,1,
5,3174036674,1,
5,3174136674,1,
5,3174236674,1,
5,3174336674,1,
5,3174436674,1,
5,3174536674,1,
5,3174636674,1,
5,3174736674,1,
5,3174836674,1,
5,3174936674,1,
5,3174038674,1,
5,3174238674,1,
5,3174338674,1,
5,3174538674,1,
5,3174638674,1,
5,3174039674,1,
5,3174139674,1,
5,3174239674,1,
5,3174339674,1,
5,3174439674,1,
5,3174539674,1,
5,3174639674,1,
5,3174739674,1,
5,3174839674,1,
5,3174939674,1,
5,3174030774,1,
5,3174130774,1,
5,3174230774,1,
5,3174330774,1,
5,3174430774,1,
5,3174530774,1,
5,3174630774,1,
5,3174730774,1,
5,3174830774,1,
5,3174930774,1,
5,3174031774,1,
5,3174131774,1,
5,3174231774,1,
5,3174331774,1,
5,3174431774,1,
5,3174531774,1,
5,3174631774,1,
5,3174731774,1,
5,3174831774,1,
5,3174931774,1,
5,3174033774,1,
5,3174133774,1,
5,3174233774,1,
5,3174333774,1,
5,3174433774,1,
5,3174533774,1,
5,3174633774,1,
5,3174733774,1,
5,3174833774,1,
5,3174933774,1,
5,3174034774,1,
5,3174234774,1,
5,3174334774,1,
5,3174534774,1,
5,3174634774,1,
5,3174035774,1,
5,3174135774,1,
5,3174235774,1,
5,3174335774,1,
5,3174435774,1,
5,3174535774,1,
5,3174635774,1,
5,3174735774,1,
5,3174835774,1,
5,3174935774,1,
5,3174036774,1,
5,3174136774,1,
5,3174236774,1,
5,3174336774,1,
5,3174436774,1,
5,3174536774,1,
5,3174636774,1,
5,3174736774,1,
5,3174836774,1,
5,3174936774,1,
5,3174039774,1,
5,3174139774,1,
5,3174239774,1,
5,3174339774,1,
5,3174439774,1,
5,3174539774,1,
5,3174639774,1,
5,3174739774,1,
5,3174839774,1,
5,3174939774,1,
5,3174030874,1,
5,3174130874,1,
5,3174230874,1,
5,3174330874,1,
5,3174430874,1,
5,3174530874,1,
5,3174630874,1,
5,3174730874,1,
5,3174830874,1,
5,3174930874,1,
5,3174031874,1,
5,3174131874,1,
5,3174231874,1,
5,3174331874,1,
5,3174431874,1,
5,3174531874,1,
5,3174631874,1,
5,3174731874,1,
5,3174831874,1,
5,3174931874,1,
5,3174033874,1,
5,3174133874,1,
5,3174233874,1,
5,3174333874,1,
5,3174433874,1,
5,3174533874,1,
5,3174633874,1,
5,3174733874,1,
5,3174833874,1,
5,3174933874,1,
5,3174034874,1,
5,3174234874,1,
5,3174334874,1,
5,3174534874,1,
5,3174634874,1,
5,3174035874,1,
5,3174135874,1,
5,3174235874,1,
5,3174335874,1,
5,3174435874,1,
5,3174535874,1,
5,3174635874,1,
5,3174735874,1,
5,3174835874,1,
5,3174935874,1,
5,3174036874,1,
5,3174136874,1,
5,3174236874,1,
5,3174336874,1,
5,3174436874,1,
5,3174536874,1,
5,3174636874,1,
5,3174736874,1,
5,3174836874,1,
5,3174936874,1,
5,3174238874,1,
5,3174338874,1,
5,3174638874,1,
5,3174039874,1,
5,3174139874,1,
5,3174239874,1,
5,3174339874,1,
5,3174439874,1,
5,3174539874,1,
5,3174639874,1,
5,3174739874,1,
5,3174839874,1,
5,3174939874,1,
5,3174030974,1,
5,3174130974,1,
5,3174230974,1,
5,3174330974,1,
5,3174430974,1,
5,3174530974,1,
5,3174630974,1,
5,3174730974,1,
5,3174830974,1,
5,3174930974,1,
5,3174031974,1,
5,3174131974,1,
5,3174231974,1,
5,3174331974,1,
5,3174431974,1,
5,3174531974,1,
5,3174631974,1,
5,3174731974,1,
5,3174831974,1,
5,3174931974,1,
5,3174033974,1,
5,3174133974,1,
5,3174233974,1,
5,3174333974,1,
5,3174433974,1,
5,3174533974,1,
5,3174633974,1,
5,3174733974,1,
5,3174833974,1,
5,3174933974,1,
5,3174034974,1,
5,3174134974,1,
5,3174234974,1,
5,3174334974,1,
5,3174434974,1,
5,3174534974,1,
5,3174634974,1,
5,3174834974,1,
5,3174934974,1,
5,3174035974,1,
5,3174135974,1,
5,3174235974,1,
5,3174335974,1,
5,3174435974,1,
5,3174535974,1,
5,3174635974,1,
5,3174735974,1,
5,3174835974,1,
5,3174935974,1,
5,3174036974,1,
5,3174136974,1,
5,3174236974,1,
5,3174336974,1,
5,3174436974,1,
5,3174536974,1,
5,3174636974,1,
5,3174736974,1,
5,3174836974,1,
5,3174936974,1,
5,3174038974,1,
5,3174238974,1,
5,3174338974,1,
5,3174638974,1,
5,3174039974,1,
5,3174139974,1,
5,3174239974,1,
5,3174339974,1,
5,3174439974,1,
5,3174539974,1,
5,3174639974,1,
5,3174739974,1,
5,3174839974,1,
5,3174939974,1,
5,3177030074,1,
5,3177130074,1,
5,3177230074,1,
5,3177330074,1,
5,3177430074,1,
5,3177530074,1,
5,3177630074,1,
5,3177830074,1,
5,3177930074,1,
5,3177031074,1,
5,3177131074,1,
5,3177231074,1,
5,3177331074,1,
5,3177531074,1,
5,3177631074,1,
5,3177831074,1,
5,3177931074,1,
5,3177033074,1,
5,3177133074,1,
5,3177233074,1,
5,3177333074,1,
5,3177433074,1,
5,3177533074,1,
5,3177633074,1,
5,3177833074,1,
5,3177933074,1,
5,3177334074,1,
5,3177035074,1,
5,3177135074,1,
5,3177235074,1,
5,3177335074,1,
5,3177435074,1,
5,3177535074,1,
5,3177635074,1,
5,3177835074,1,
5,3177935074,1,
5,3177036074,1,
5,3177136074,1,
5,3177236074,1,
5,3177336074,1,
5,3177436074,1,
5,3177536074,1,
5,3177636074,1,
5,3177836074,1,
5,3177936074,1,
5,3177039074,1,
5,3177139074,1,
5,3177239074,1,
5,3177339074,1,
5,3177439074,1,
5,3177539074,1,
5,3177639074,1,
5,3177839074,1,
5,3177939074,1,
5,3177030174,1,
5,3177130174,1,
5,3177230174,1,
5,3177330174,1,
5,3177430174,1,
5,3177530174,1,
5,3177630174,1,
5,3177830174,1,
5,3177930174,1,
5,3177031174,1,
5,3177231174,1,
5,3177331174,1,
5,3177531174,1,
5,3177631174,1,
5,3177831174,1,
5,3177033174,1,
5,3177133174,1,
5,3177233174,1,
5,3177333174,1,
5,3177433174,1,
5,3177533174,1,
5,3177633174,1,
5,3177833174,1,
5,3177933174,1,
5,3177035174,1,
5,3177135174,1,
5,3177235174,1,
5,3177335174,1,
5,3177435174,1,
5,3177535174,1,
5,3177635174,1,
5,3177835174,1,
5,3177935174,1,
5,3177036174,1,
5,3177136174,1,
5,3177236174,1,
5,3177336174,1,
5,3177436174,1,
5,3177536174,1,
5,3177636174,1,
5,3177836174,1,
5,3177936174,1,
5,3177039174,1,
5,3177139174,1,
5,3177239174,1,
5,3177339174,1,
5,3177439174,1,
5,3177539174,1,
5,3177639174,1,
5,3177839174,1,
5,3177939174,1,
5,3177030274,1,
5,3177130274,1,
5,3177230274,1,
5,3177330274,1,
5,3177430274,1,
5,3177530274,1,
5,3177630274,1,
5,3177830274,1,
5,3177930274,1,
5,3177231274,1,
5,3177331274,1,
5,3177631274,1,
5,3177033274,1,
5,3177133274,1,
5,3177233274,1,
5,3177333274,1,
5,3177433274,1,
5,3177533274,1,
5,3177633274,1,
5,3177833274,1,
5,3177933274,1,
5,3177035274,1,
5,3177135274,1,
5,3177235274,1,
5,3177335274,1,
5,3177435274,1,
5,3177535274,1,
5,3177635274,1,
5,3177835274,1,
5,3177935274,1,
5,3177036274,1,
5,3177136274,1,
5,3177236274,1,
5,3177336274,1,
5,3177436274,1,
5,3177536274,1,
5,3177636274,1,
5,3177836274,1,
5,3177936274,1,
5,3177039274,1,
5,3177139274,1,
5,3177239274,1,
5,3177339274,1,
5,3177439274,1,
5,3177539274,1,
5,3177639274,1,
5,3177839274,1,
5,3177939274,1,
5,3177030374,1,
5,3177130374,1,
5,3177230374,1,
5,3177330374,1,
5,3177430374,1,
5,3177530374,1,
5,3177630374,1,
5,3177830374,1,
5,3177930374,1,
5,3177031374,1,
5,3177131374,1,
5,3177231374,1,
5,3177331374,1,
5,3177431374,1,
5,3177531374,1,
5,3177631374,1,
5,3177831374,1,
5,3177931374,1,
5,3177234374,1,
5,3177334374,1,
5,3177035374,1,
5,3177135374,1,
5,3177235374,1,
5,3177335374,1,
5,3177435374,1,
5,3177535374,1,
5,3177635374,1,
5,3177835374,1,
5,3177935374,1,
5,3177036374,1,
5,3177136374,1,
5,3177236374,1,
5,3177336374,1,
5,3177436374,1,
5,3177536374,1,
5,3177636374,1,
5,3177836374,1,
5,3177936374,1,
5,3177039374,1,
5,3177139374,1,
5,3177239374,1,
5,3177339374,1,
5,3177439374,1,
5,3177539374,1,
5,3177639374,1,
5,3177839374,1,
5,3177939374,1,
5,3177030474,1,
5,3177130474,1,
5,3177230474,1,
5,3177330474,1,
5,3177430474,1,
5,3177530474,1,
5,3177630474,1,
5,3177830474,1,
5,3177930474,1,
5,3177031474,1,
5,3177231474,1,
5,3177331474,1,
5,3177531474,1,
5,3177631474,1,
5,3177033474,1,
5,3177133474,1,
5,3177233474,1,
5,3177333474,1,
5,3177433474,1,
5,3177533474,1,
5,3177633474,1,
5,3177833474,1,
5,3177933474,1,
5,3177035474,1,
5,3177135474,1,
5,3177235474,1,
5,3177335474,1,
5,3177435474,1,
5,3177535474,1,
5,3177635474,1,
5,3177835474,1,
5,3177935474,1,
5,3177036474,1,
5,3177136474,1,
5,3177236474,1,
5,3177336474,1,
5,3177436474,1,
5,3177536474,1,
5,3177636474,1,
5,3177836474,1,
5,3177936474,1,
5,3177039474,1,
5,3177139474,1,
5,3177239474,1,
5,3177339474,1,
5,3177439474,1,
5,3177539474,1,
5,3177639474,1,
5,3177839474,1,
5,3177939474,1,
5,3177030574,1,
5,3177130574,1,
5,3177230574,1,
5,3177330574,1,
5,3177430574,1,
5,3177530574,1,
5,3177630574,1,
5,3177830574,1,
5,3177930574,1,
5,3177031574,1,
5,3177131574,1,
5,3177231574,1,
5,3177331574,1,
5,3177531574,1,
5,3177631574,1,
5,3177831574,1,
5,3177033574,1,
5,3177133574,1,
5,3177233574,1,
5,3177333574,1,
5,3177433574,1,
5,3177533574,1,
5,3177633574,1,
5,3177833574,1,
5,3177933574,1,
5,3177334574,1,
5,3177035574,1,
5,3177135574,1,
5,3177235574,1,
5,3177335574,1,
5,3177435574,1,
5,3177535574,1,
5,3177635574,1,
5,3177835574,1,
5,3177935574,1,
5,3177036574,1,
5,3177136574,1,
5,3177236574,1,
5,3177336574,1,
5,3177436574,1,
5,3177536574,1,
5,3177636574,1,
5,3177836574,1,
5,3177936574,1,
5,3177039574,1,
5,3177139574,1,
5,3177239574,1,
5,3177339574,1,
5,3177439574,1,
5,3177539574,1,
5,3177639574,1,
5,3177839574,1,
5,3177939574,1,
5,3177030674,1,
5,3177130674,1,
5,3177230674,1,
5,3177330674,1,
5,3177430674,1,
5,3177530674,1,
5,3177630674,1,
5,3177830674,1,
5,3177930674,1,
5,3177031674,1,
5,3177131674,1,
5,3177231674,1,
5,3177331674,1,
5,3177431674,1,
5,3177531674,1,
5,3177631674,1,
5,3177831674,1,
5,3177931674,1,
5,3177033674,1,
5,3177133674,1,
5,3177233674,1,
5,3177333674,1,
5,3177433674,1,
5,3177533674,1,
5,3177633674,1,
5,3177833674,1,
5,3177933674,1,
5,3177334674,1,
5,3177035674,1,
5,3177135674,1,
